year,first_name,middle_name,last_name,affiliation,original specialization,modified specializationmemoriam,email_affiliation,related_aff,umbrella_spec,,
1974,P.,Reed,Larsen,"[""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School']",['Endocrinology'],['Endocrinology'],"['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,
1974,Robert,K.,Ockner,"['University of California, San Francisco, School of Medicine']","['Metabolism', 'Biochemistry', 'Gastroenterology', 'Hepatology', 'Cell Biology', 'Neurobiology', 'Internal Medicine', 'Molecular Biology', 'Oncology', 'Physiology']","['Metabolism', 'Gastroenterology', 'Hepatology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,
1974,Stephen,F.,Vatner,"['Rutgers, The State University of New Jersey']","['Cardiovascular Disease', 'Cardiology']","['Cardiovascular Disease', 'Cardiology']","['ASCI', 'AAP']",['Rutgers University Affiliates*'],"['Rutgers, New Jersey Medical School', 'Rutgers, Robert Wood Johnson Medical School', 'Rutgers, The State University of New Jersey']",,
1975,John,W.,Adamson,"['VAMC San Diego', 'University of California, San Diego, School of Medicine']","['Internal Medicine', 'Cell Biology', 'Bone marrow transplantation', 'Hematology']","['Internal Medicine', 'Bone marrow transplantation', 'Hematology']","['ASCI', 'AAP']",['VAMC Affiliates*'],"['VAMC Bedford, MA', 'VAMC Denver', 'VAMC Memphis', 'VAMC Miami', 'VAMC Minneapolis', 'VAMC San Diego', 'VAMC San Francisco', 'VAMC Seattle', 'VAMC Tucson', 'Veterans Administration Medical Center (Pittsburgh)', 'Veterans Health Administration']",,
1975,Jerry,D.,Gardner,[],"['Neurobiology', 'Drug Development', 'Gastroenterology', 'Pharmacology', 'Cell Biology', 'Health services research', 'Administration', 'Informatics', 'Endocrinology', 'Biochemistry', 'Gene Transfer/Gene Therapy', 'Molecular Biology', 'Hepatology']","['Gastroenterology', 'Informatics', 'Endocrinology', 'Hepatology']","['ASCI', 'AAP']",[],[],,
1975,Thomas,D.,Gelehrter,['University of Michigan Medical School'],"['Cell Biology', 'Genetics', 'Endocrinology', 'Internal Medicine', 'Biochemistry', 'Molecular Biology']","['Genetics', 'Endocrinology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,
1975,Rex,L.,Jamison,['Stanford University School of Medicine'],"['Health services research', 'Physiology', 'Cell Biology', 'Nephrology']",['Nephrology'],"['ASCI', 'AAP']",['Stanford University Affiliates*'],"['Stanford University School of Medicine', 'Stanford, Institute for Stem Cell Biology and Regenerative Medicine']",,
1975,Yuet,Wai,Kan,"['University of California, San Francisco, School of Medicine']","['Hematology', 'Genetics']","['Hematology', 'Genetics']","['ASCI', 'AAP']",[],[],,
1975,Allen,P.,Kaplan,['Medical University of South Carolina College of Medicine'],"['Rheumatology', 'Allergy', 'Internal Medicine']","['Rheumatology', 'Allergy', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,
1975,Gerald,L.,Mandell,['University of Virginia Medical Center'],"['Infectious Disease', 'Immunology']",['Infectious Disease'],"['ASCI', 'AAP']",['University of Virginia Affiliates*'],"['University of Virginia Medical Center', 'University of Virginia School of Medicine']",,
1975,Judith,L.,Vaitukaitis,[],[],[],"['ASCI', 'AAP']",[],[],,
1975,Peter,N.,Walsh,[],[],[],"['ASCI', 'AAP']",[],[],,
1976,George,P.,Canellos,"['Harvard Medical School', 'Harvard Medical School, Dana-Farber Cancer Institute', ""Harvard Medical School, Brigham & Women's Hospital""]","['Hematology', 'Internal Medicine', 'Oncology']","['Hematology', 'Internal Medicine']","['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,
1976,Anthony,S.,Fauci,['National Institutes of Health'],"['Immunology', 'Allergy', 'Internal Medicine', 'Infectious Disease']","['Allergy', 'Internal Medicine', 'Infectious Disease']","['ASCI', 'AAP']",[],[],,
1976,Joel,F.,Habener,"['Harvard Medical School, Massachusetts General Hospital']","['Molecular Biology', 'Genetics', 'Developmental Biology', 'Diabetes', 'Endocrinology', 'Cell Biology']","['Genetics', 'Diabetes', 'Endocrinology']","['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,
1976,Jon,I,Isenberg,[],[],[],"['ASCI', 'AAP']",[],[],,
1976,Leonard,,Jarett,[],[],[],"['ASCI', 'AAP']",[],[],,
1976,John,P.,Kane,"['University of California, San Francisco, School of Medicine']","['Administration', 'Metabolism', 'Genetics', 'Internal Medicine', 'Biochemistry', 'Endocrinology', 'Cardiovascular Disease']","['Metabolism', 'Genetics', 'Internal Medicine', 'Endocrinology', 'Cardiovascular Disease']","['ASCI', 'AAP']",[],[],,
1977,Robert,J.,Bache,['University of Minnesota Medical School'],"['Physiology', 'Cardiology', 'Molecular Biology']",['Cardiology'],"['ASCI', 'AAP']",[],[],,
1977,David,C.,Dale,['University of Washington School of Medicine'],"['Hematology', 'Internal Medicine', 'Infectious Disease']","['Hematology', 'Internal Medicine', 'Infectious Disease']","['ASCI', 'AAP']",[],[],,
1977,Hugo,E.,Jasin,[],[],[],"['ASCI', 'AAP']",[],[],,
1977,Jerrold,M.,Olefsky,"['University of California, San Diego, School of Medicine']","['Endocrinology', 'Internal Medicine', 'Metabolism']","['Endocrinology', 'Internal Medicine', 'Metabolism']","['ASCI', 'AAP']",[],[],,
1977,Suzanne,,Oparil,['University of Alabama at Birmingham School of Medicine'],"['Hypertension', 'Cardiovascular Disease']",['Cardiovascular Disease'],"['ASCI', 'AAP']",[],[],,
1977,Joost,,Oppenheim,[],[],[],"['ASCI', 'AAP']",[],[],,
1977,David,Lawrence,Sackett,[],[],[],"['ASCI', 'AAP']",[],[],,
1977,Richard,L.,Tannen,[],[],[],"['ASCI', 'AAP']",[],[],,
1977,Albert,L.,Waldo,['Case Western Reserve University School of Medicine'],"['Physiology', 'Cardiovascular Disease', 'Pharmacology', 'Biomedical Engineering', 'Cardiology', 'Internal Medicine']","['Cardiovascular Disease', 'Cardiology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,
1977,Douglas,P.,Zipes,['Indiana University School of Medicine'],['Cardiology'],['Cardiology'],"['ASCI', 'AAP']",[],[],,
1978,Qais,,Al-Awqati,['Columbia University College of Physicians & Surgeons'],"['Biochemistry', 'Nephrology', 'Physiology', 'Cell Biology']",['Nephrology'],"['ASCI', 'AAP']",[],[],,
1978,Norman,H.,Edelman,['Renaissance School of Medicine at Stony Brook University'],"['Internal Medicine', 'Pulmonology', 'Physiology']","['Internal Medicine', 'Pulmonology']","['ASCI', 'AAP']",[],[],,
1978,David,,Feldman,['Stanford University School of Medicine'],"['Oncology', 'Metabolism', 'Endocrinology', 'Internal Medicine', 'Genetics']","['Metabolism', 'Endocrinology', 'Internal Medicine', 'Genetics']","['ASCI', 'AAP']",['Stanford University Affiliates*'],"['Stanford University School of Medicine', 'Stanford, Institute for Stem Cell Biology and Regenerative Medicine']",,
1978,John,I.,Gallin,['National Institutes of Health'],"['Immunology', 'Administration', 'Internal Medicine', 'Infectious Disease']","['Internal Medicine', 'Infectious Disease']","['ASCI', 'AAP']",[],[],,
1978,Ashley,T.,Haase,['University of Minnesota Medical School'],"['Internal Medicine', 'Immunology', 'Infectious Disease', 'Virology', 'HIV', 'Microbiology']","['Internal Medicine', 'Infectious Disease', 'Microbiology']","['ASCI', 'AAP']",[],[],,
1978,Ralph,,Lazzara,[],[],[],"['ASCI', 'AAP']",[],[],,
1978,Adel,A. F.,Mahmoud,[],[],[],"['ASCI', 'AAP']",[],[],,
1978,Merle,A.,Sande,[],[],[],"['ASCI', 'AAP']",[],[],,
1978,Richard,J.,Santen,['University of Virginia School of Medicine'],['Endocrinology'],['Endocrinology'],"['ASCI', 'AAP']",['University of Virginia Affiliates*'],"['University of Virginia Medical Center', 'University of Virginia School of Medicine']",,
1978,Barry,L.,Zaret,['Yale School of Medicine'],"['Nuclear Medicine', 'Cardiovascular Disease', 'Administration', 'Cardiology']","['Nuclear Medicine', 'Cardiovascular Disease', 'Cardiology']","['ASCI', 'AAP']",[],[],,
1979,Douglas,,Fearon,['University of Cambridge'],"['Rheumatology', 'Immunology']",['Rheumatology'],"['ASCI', 'AAP']",[],[],,
1979,Robert,I.,Handin,"[""Harvard Medical School, Brigham & Women's Hospital""]","['Biochemistry', 'Hematology', 'Genetics', 'Cell Biology']","['Hematology', 'Genetics']","['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,
1979,Ivor,,Jackson,[],"['Endocrinology', 'Neurobiology']",['Endocrinology'],"['ASCI', 'AAP']",[],[],,
1979,Eric,A.,Jaffe,[],"['Oncology', 'Hematology', 'Internal Medicine']","['Hematology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,
1979,Gerald,S.,Lazarus,['Johns Hopkins University School of Medicine'],"['Health services research', 'Wound healing', 'Health care policy', 'Administration', 'Dermatology', 'Public Policy']",['Dermatology'],"['ASCI', 'AAP']",['Johns Hopkins University Affiliates*'],"['Johns Hopkins Bloomberg School of Public Health', 'Johns Hopkins Medical Institutes', 'Johns Hopkins University School of Medicine']",,
1980,Martin,C.,Carey,"[""Harvard Medical School, Brigham & Women's Hospital""]","['Gastroenterology', 'Physiology', 'Metabolism', 'Endocrinology', 'Molecular Biology', 'Biophysics', 'Genetics']","['Gastroenterology', 'Metabolism', 'Endocrinology', 'Genetics']","['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,
1980,Erwin,W.,Gelfand,['National Jewish Health'],"['Cell Biology', 'Immunology', 'Allergy', 'Molecular Biology', 'Pediatrics']","['Allergy', 'Pediatrics']","['ASCI', 'AAP']",[],[],,
1980,Paul,A.,Insel,"['University of California, San Diego, School of Medicine']","['Drug Development', 'Gene Transfer/Gene Therapy', 'Physiology', 'Endocrinology', 'Hypertension', 'Cell Biology', 'Biochemistry', 'Cardiovascular Disease', 'General Medicine', 'Internal Medicine', 'Pharmacology']","['Endocrinology', 'Cardiovascular Disease', 'General Medicine', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,
1980,Neil,,Kaplowitz,['University of Southern California Keck School of Medicine'],"['Toxicology', 'Cell Biology', 'Pharmacology', 'Gastroenterology', 'Biochemistry', 'Physiology', 'Internal Medicine', 'Hepatology']","['Toxicology', 'Gastroenterology', 'Internal Medicine', 'Hepatology']","['ASCI', 'AAP']",[],[],,
1980,Lewis,,Landsberg,['Northwestern University Feinberg School of Medicine'],"['Administration', 'Hypertension', 'Metabolism', 'Endocrinology', 'Internal Medicine']","['Metabolism', 'Endocrinology', 'Internal Medicine']","['ASCI', 'AAP']",['Northwestern University Affiliates*'],"['Northwestern Memorial Hospital', 'Northwestern University Feinberg School of Medicine']",,
1980,Robert,W.,Mahley,"['Gladstone Institutes', 'University of California, San Francisco, School of Medicine']","['Neurology', 'Molecular Biology', 'Genetics', 'Cell Biology', 'Neurobiology', 'Cardiovascular Disease', 'Administration']","['Neurology', 'Genetics', 'Cardiovascular Disease']","['ASCI', 'AAP']",[],[],,
1980,Thalia,,Papayannopoulou,['University of Washington School of Medicine'],"['Developmental Biology', 'Cell Biology', 'Hematology']",['Hematology'],"['ASCI', 'AAP']",[],[],,
1980,Basil,,Rapoport,['Cedars-Sinai Medical Center'],"['Endocrinology', 'Immunology', 'Molecular Biology']",['Endocrinology'],"['ASCI', 'AAP']",[],[],,
1980,Hidehiko,,Saito,['JR Tokai General Hospital'],"['Bone marrow transplantation', 'Internal Medicine', 'Hematology', 'Oncology']","['Bone marrow transplantation', 'Internal Medicine', 'Hematology']","['ASCI', 'AAP']",[],[],,
1980,Argyrios,N.,Theofilopoulos,['The Scripps Research Institute'],"['Molecular Biology', 'Immunology', 'Rheumatology', 'Genetics', 'Virology']","['Rheumatology', 'Genetics']","['ASCI', 'AAP']",[],[],,
1980,Peter,D.,Wagner,"['University of California, San Diego, School of Medicine']","['Physiology', 'Biomedical Engineering', 'Molecular Biology', 'Pulmonology']",['Pulmonology'],"['ASCI', 'AAP']",[],[],,
1981,Robert,,Carey,['University of Virginia School of Medicine'],"['General Medicine', 'Endocrinology', 'Hypertension', 'Administration']","['General Medicine', 'Endocrinology']","['ASCI', 'AAP']",['University of Virginia Affiliates*'],"['University of Virginia Medical Center', 'University of Virginia School of Medicine']",,
1981,C.,Garrison,Fathman,['Stanford University School of Medicine'],"['Immunology', 'Gene Transfer/Gene Therapy', 'Cell Biology', 'Molecular Biology', 'Rheumatology']",['Rheumatology'],"['ASCI', 'AAP']",['Stanford University Affiliates*'],"['Stanford University School of Medicine', 'Stanford, Institute for Stem Cell Biology and Regenerative Medicine']",,
1981,Perry,V.,Halushka,['Medical University of South Carolina College of Medicine'],"['Cardiovascular Disease', 'Hypertension', 'Pharmacology']",['Cardiovascular Disease'],"['ASCI', 'AAP']",[],[],,
1981,Jouni,Jorma,Uitto,['Jefferson Medical College of Thomas Jefferson University'],"['Molecular Biology', 'Genetics', 'Dermatology', 'Biochemistry']","['Genetics', 'Dermatology']","['ASCI', 'AAP']",[],[],,
1981,David,,Valle,[],"['Genetics', 'Pediatrics', 'Bioethics', 'Cell Biology', 'Molecular Biology', 'Biochemistry', 'Metabolism']","['Genetics', 'Pediatrics', 'Metabolism']","['ASCI', 'AAP']",[],[],,
1982,Carol,,Baker,['Baylor College of Medicine'],"['Epidemiology', 'Pediatrics', 'Neonatology', 'Infectious Disease', 'Vaccines']","['Pediatrics', 'Neonatology', 'Infectious Disease']","['ASCI', 'AAP']",[],[],,
1982,Edwin,C.,Cadman,[],[],[],"['ASCI', 'AAP']",[],[],,
1982,George,S.,Eisenbarth,[],[],[],"['ASCI', 'AAP']",[],[],,
1982,Harry,R.,Jacobson,[],"['Nephrology', 'Internal Medicine', 'Administration']","['Nephrology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,
1982,Martin,F.,Kagnoff,[],[],[],"['ASCI', 'AAP']",[],[],,
1982,Stuart,H.,Orkin,"[""Harvard Medical School, Boston Children's Hospital""]",['Hematology'],['Hematology'],"['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,
1982,John,A.,Parrish,"['Harvard Medical School, Massachusetts General Hospital']","['Biophysics', 'Environmental Medicine', 'Biomedical Engineering', 'Dermatology', 'Administration']",['Dermatology'],"['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,
1982,Alan,R.,Tall,['Columbia University College of Physicians & Surgeons'],"['Metabolism', 'Molecular Biology']",['Metabolism'],"['ASCI', 'AAP']",[],[],,
1982,Steven,L.,Teitelbaum,['Washington University School of Medicine in St. Louis'],['Pathology'],['Pathology'],"['ASCI', 'AAP']",[],[],,
1983,Grover,C.,Bagby,['Oregon Health Science University School of Medicine'],"['Hematology', 'Oncology', 'Cell Biology', 'Developmental Biology', 'Genetics', 'Molecular Biology']","['Hematology', 'Genetics']","['ASCI', 'AAP']",['Oregon Health & Science Affiliates*'],"['Oregon Health & Science University', 'Oregon Health Science University School of Medicine']",,
1983,Raif,S.,Geha,"[""Harvard Medical School, Boston Children's Hospital""]","['Immunology', 'Pediatrics', 'Allergy']","['Pediatrics', 'Allergy']","['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,
1983,Bevra,H.,Hahn,"['University of California, Los Angeles, David Geffen School of Medicine']","['Immunology', 'Rheumatology', 'Internal Medicine', 'Administration']","['Rheumatology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,
1983,Carl,F.,Nathan,['Weill Cornell Medical College'],"['Immunology', 'Metabolism', 'Infectious Disease', 'Hematology', 'Oncology']","['Metabolism', 'Infectious Disease', 'Hematology']","['ASCI', 'AAP']",[],[],,
1983,Paul,M.,Vanhoutte,[],[],[],"['ASCI', 'AAP']",[],[],,
1984,Mark,,Feldman,['Presbyterian Hospital of Dallas'],[],[],"['ASCI', 'AAP']",[],[],,
1984,James,M.,Hammond,['Pennsylvania State University College of Medicine'],"['Molecular Biology', 'Metabolism', 'Internal Medicine', 'Endocrinology', 'Cell Biology']","['Metabolism', 'Internal Medicine', 'Endocrinology']","['ASCI', 'AAP']",[],[],,
1984,Nicholas,F.,LaRusso,['Mayo Clinic'],"['Cell Biology', 'Hepatology', 'Gastroenterology', 'Internal Medicine', 'Molecular Biology', 'Biochemistry']","['Hepatology', 'Gastroenterology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,
1984,Edward,G.,Lakatta,"['NIH, National Institute on Aging (NIA)']","['Cardiovascular Disease', 'Cell Biology', 'Biochemistry', 'Cardiology', 'Biophysics', 'Internal Medicine', 'Physiology']","['Cardiovascular Disease', 'Cardiology', 'Internal Medicine']","['ASCI', 'AAP']",['NIH Affiliates*'],"['NIH, Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)', 'NIH, National Cancer Institute (NCI)', 'NIH, National Center for Complementary and Integrative Health (NCCIH)', 'NIH, National Eye Institute (NEI)', 'NIH, National Heart, Lung, and Blood Institute (NHLBI)', 'NIH, National Human Genome Research Institute (NHGRI)', 'NIH, National Institute of Allergy and Infectious Diseases (NIAID)', 'NIH, National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)', 'NIH, National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)', 'NIH, National Institute of Minority Health and Health Disparities', 'NIH, National Institute of Neurological Disorders and Stroke (NINDS)', 'NIH, National Institute on Aging (NIA)', 'NIH, National Institute on Alcohol Abuse and Alcoholism (NIAAA)']",,
1984,Thomas,J.,Lawley,['Emory University School of Medicine'],['Dermatology'],['Dermatology'],"['ASCI', 'AAP']",[],[],,
1984,Tadataka,,Yamada,[],[],[],"['ASCI', 'AAP']",[],[],,
1985,Bart,,Barlogie,['Icahn School of Medicine at Mount Sinai'],"['Hematology', 'Oncology', 'Bone marrow transplantation']","['Hematology', 'Bone marrow transplantation']","['ASCI', 'AAP']",['Mount Sinai Affiliates*'],"['Mount Sinai Hospital, Toronto', 'Icahn School of Medicine at Mount Sinai', 'Mount Sinai Beth Israel', 'Samuel Lunenfeld Research Institute of Mount Sinai Hospital']",,
1985,Barry,I.,Eisenstein,['CARB-X'],"['Microbiology', 'Internal Medicine', 'Administration', 'Infectious Disease']","['Microbiology', 'Internal Medicine', 'Infectious Disease']","['ASCI', 'AAP']",[],[],,
1985,Marc,R.,Hammerman,['Barnes Jewish Hospital'],"['Nephrology', 'Metabolism', 'Developmental Biology', 'Physiology', 'Endocrinology']","['Nephrology', 'Metabolism', 'Endocrinology']","['ASCI', 'AAP']",[],[],,
1985,Iekuni,,Ichikawa,['Vanderbilt University School of Medicine'],"['Pediatrics', 'Nephrology', 'Genetics', 'Internal Medicine', 'Cardiovascular Disease']","['Pediatrics', 'Nephrology', 'Genetics', 'Internal Medicine', 'Cardiovascular Disease']","['ASCI', 'AAP']",[],[],,
1985,Jerry,P,Palmer,['University of Washington School of Medicine'],"['Metabolism', 'Immunology', 'Internal Medicine', 'Epidemiology', 'Diabetes', 'Endocrinology']","['Metabolism', 'Internal Medicine', 'Diabetes', 'Endocrinology']","['ASCI', 'AAP']",[],[],,
1985,Stephan,Raoul,Targan,['Cedars-Sinai Medical Center'],"['Molecular Biology', 'Gastroenterology', 'Immunology']",['Gastroenterology'],"['ASCI', 'AAP']",[],[],,
1985,Alfred,I,Tauber,[],[],[],"['ASCI', 'AAP']",[],[],,
1985,Ian,,Taylor,['SUNY Downstate Medical Center'],['Internal Medicine'],['Internal Medicine'],"['ASCI', 'AAP']",[],[],,
1985,Simeon,I.,Taylor,['University of Maryland School of Medicine'],"['Cell Biology', 'Genetics', 'Endocrinology', 'Internal Medicine', 'Molecular Biology', 'Biochemistry']","['Genetics', 'Endocrinology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,
1985,Johannes,D.,Veldhuis,['Mayo Clinic'],"['Molecular Biology', 'Endocrinology', 'Biophysics', 'Physiology', 'Pharmacology', 'Metabolism', 'Geriatrics']","['Endocrinology', 'Metabolism', 'Geriatrics']","['ASCI', 'AAP']",[],[],,
